Year,Month,nh_extent
2008,7,8.678
2009,7,8.465
2010,7,8.075
2011,7,7.724
2012,7,7.672
2013,7,8.132
2014,7,8.108
2015,7,8.378
2016,7,7.938
2017,7,7.939
2018,7,8.268
2019,7,7.589
2020,7,7.294
2021,7,7.647
2022,7,8.287
2023,7,8.183
2024,7,
1978,8,
1979,8,8.041
1980,8,7.984
1981,8,7.844
1982,8,8.139
1983,8,8.186
1984,8,7.771
1985,8,7.402
1986,8,7.979
1987,8,7.628
1988,8,7.892
1989,8,7.882
1990,8,6.797
1991,8,7.415
1992,8,7.925
1993,8,7.335
1994,8,7.639
1995,8,6.744
1996,8,8.18
1997,8,7.285
1998,8,7.509
1999,8,7.226
2000,8,7.168
2001,8,7.461
2002,8,6.599
2003,8,6.936
2004,8,6.855
2005,8,6.301
2006,8,6.496
2007,8,5.342
2008,8,5.913
2009,8,6.136
2010,8,5.875
2011,8,5.503
2012,8,4.723
2013,8,6.014
2014,8,6.078
2015,8,5.599
2016,8,5.371
2017,8,5.481
2018,8,5.615
2019,8,5.026
2020,8,5.07
2021,8,5.715
2022,8,5.95
2023,8,5.566
2024,8,
1978,9,
1979,9,7.051
1980,9,7.667
1981,9,7.138
1982,9,7.302
1983,9,7.395
1984,9,6.805
1985,9,6.698
1986,9,7.411
1987,9,7.279
1988,9,7.369
1989,9,7.008
1990,9,6.143
1991,9,6.473
1992,9,7.474
1993,9,6.397
1994,9,7.138
1995,9,6.08
1996,9,7.583
1997,9,6.686
1998,9,6.536
1999,9,6.117
2000,9,6.246
2001,9,6.732
2002,9,5.827
2003,9,6.116
2004,9,5.984
2005,9,5.504
2006,9,5.862
2007,9,4.267
2008,9,4.687
2009,9,5.262
2010,9,4.865
2011,9,4.561
2012,9,3.566
2013,9,5.208
2014,9,5.22
2015,9,4.616
2016,9,4.528
2017,9,4.822
2018,9,4.785
2019,9,4.364
2020,9,4.001
2021,9,4.952
2022,9,4.897
2023,9,4.371
2024,9,
1978,10,
1979,10,8.748
1980,10,9.183
1981,10,8.856
1982,10,9.421
1983,10,9.334
1984,10,8.561
1985,10,8.546
1986,10,9.484
1987,10,9.049
1988,10,9.135
1989,10,8.829
1990,10,8.485
1991,10,8.541
1992,10,9.319
1993,10,8.786
1994,10,8.915
1995,10,7.829
1996,10,9.161
1997,10,8.337
1998,10,8.452
1999,10,8.603
2000,10,8.379
2001,10,8.298
2002,10,8.162
2003,10,7.848
2004,10,7.925
2005,10,7.352
2006,10,7.541
2007,10,6.04
2008,10,7.35
2009,10,6.92
2010,10,6.984
2011,10,6.465
2012,10,5.886
2013,10,7.455
2014,10,7.232
2015,10,6.966
2016,10,6.082
2017,10,6.767
2018,10,6.134
2019,10,5.735
2020,10,5.334
2021,10,6.816
2022,10,6.657
2023,10,6.367
2024,10,
1978,11,11.645
1979,11,10.943
1980,11,11.383
1981,11,10.929
1982,11,11.627
1983,11,11.461
1984,11,10.842
1985,11,11.025
1986,11,11.453
1987,11,11.224
