Year,Month,nh_icechange
2008,6,-762000.0
2009,6,-758000.0
2010,6,-1023000.0
2011,6,-909000.0
2012,6,-1125000.0
2013,6,-839000.0
2014,6,-910000.0
2015,6,-619000.0
2016,6,-645000.0
2017,6,-919000.0
2018,6,-619000.0
2019,6,-752000.0
2020,6,-734000.0
2021,6,-922000.0
2022,6,-963000.0
2023,6,-886000.0
2024,6,-828000.0
1978,7,
1979,7,-977000.0
1980,7,-962000.0
1981,7,-1102000.0
1982,7,-1002000.0
1983,7,-933000.0
1984,7,-1046000.0
1985,7,-1156000.0
1986,7,-954000.0
1987,7,-1047000.0
1988,7,-934000.0
1989,7,-1050000.0
1990,7,-1203000.0
1991,7,-1207000.0
1992,7,-973000.0
1993,7,-1052000.0
1994,7,-978000.0
1995,7,-1155000.0
1996,7,-975000.0
1997,7,-1009000.0
1998,7,-846000.0
1999,7,-785000.0
2000,7,-1042000.0
2001,7,-854000.0
2002,7,-1153000.0
2003,7,-1030000.0
2004,7,-957000.0
2005,7,-1139000.0
2006,7,-931000.0
2007,7,-1367000.0
2008,7,-1105000.0
2009,7,-1313000.0
2010,7,-916000.0
2011,7,-1149000.0
2012,7,-1165000.0
2013,7,-1256000.0
2014,7,-1037000.0
2015,7,-1222000.0
2016,7,-1040000.0
2017,7,-1118000.0
2018,7,-1237000.0
2019,7,-1307000.0
2020,7,-1400000.0
2021,7,-1189000.0
2022,7,-1096000.0
2023,7,-1116000.0
2024,7,
1978,8,
1979,8,-791000.0
1980,8,-556000.0
1981,8,-638000.0
1982,8,-638000.0
1983,8,-773000.0
1984,8,-680000.0
1985,8,-627000.0
1986,8,-597000.0
1987,8,-825000.0
1988,8,-587000.0
1989,8,-673000.0
1990,8,-646000.0
1991,8,-544000.0
1992,8,-717000.0
1993,8,-778000.0
1994,8,-631000.0
1995,8,-589000.0
1996,8,-607000.0
1997,8,-619000.0
1998,8,-666000.0
1999,8,-891000.0
2000,8,-729000.0
2001,8,-480000.0
2002,8,-771000.0
2003,8,-644000.0
2004,8,-887000.0
2005,8,-633000.0
2006,8,-592000.0
2007,8,-783000.0
2008,8,-963000.0
2009,8,-649000.0
2010,8,-695000.0
2011,8,-776000.0
2012,8,-1072000.0
2013,8,-653000.0
2014,8,-661000.0
2015,8,-916000.0
2016,8,-920000.0
2017,8,-733000.0
2018,8,-713000.0
2019,8,-656000.0
2020,8,-691000.0
2021,8,-567000.0
2022,8,-708000.0
2023,8,-863000.0
2024,8,
1978,9,
1979,9,-67000.0
1980,9,154000.0
1981,9,44000.0
1982,9,6000.0
1983,9,96000.0
1984,9,123000.0
1985,9,86000.0
1986,9,126000.0
1987,9,252000.0
1988,9,180000.0
1989,9,-2000.0
1990,9,15000.0
1991,9,-140000.0
1992,9,274000.0
1993,9,159000.0
1994,9,122000.0
1995,9,-73000.0
1996,9,239000.0
1997,9,21000.0
1998,9,-39000.0
1999,9,188000.0
2000,9,47000.0
2001,9,-14000.0
2002,9,112000.0
2003,9,-109000.0
2004,9,120000.0
2005,9,-78000.0
2006,9,-54000.0
2007,9,-136000.0
2008,9,-38000.0
2009,9,22000.0
2010,9,-4000.0
2011,9,52000.0
2012,9,48000.0
2013,9,61000.0
2014,9,-13000.0
2015,9,133000.0
2016,9,260000.0
2017,9,78000.0
2018,9,-56000.0
2019,9,-4000.0
2020,9,0.0
2021,9,10000.0
2022,9,-32000.0
2023,9,-97000.0
2024,9,
1978,10,
1979,10,1048000.0
1980,10,769000.0
1981,10,846000.0
1982,10,1140000.0
1983,10,995000.0
1984,10,760000.0
1985,10,977000.0
1986,10,929000.0
1987,10,774000.0
1988,10,816000.0
1989,10,1075000.0
1990,10,1400000.0
1991,10,1191000.0
1992,10,761000.0
1993,10,1147000.0
1994,10,990000.0
1995,10,1407000.0
1996,10,608000.0
1997,10,1035000.0
1998,10,974000.0
1999,10,1139000.0
2000,10,1081000.0
2001,10,888000.0
2002,10,1120000.0
2003,10,1120000.0
2004,10,991000.0
2005,10,1372000.0
2006,10,1164000.0
2007,10,1430000.0
2008,10,1630000.0
2009,10,1121000.0
2010,10,1130000.0
2011,10,1324000.0
2012,10,1471000.0
2013,10,1251000.0
2014,10,1323000.0
2015,10,1348000.0
2016,10,748000.0
2017,10,1143000.0
2018,10,1136000.0
2019,10,1097000.0
2020,10,843000.0
2021,10,1199000.0
2022,10,1230000.0
2023,10,1434000.0
2024,10,
1978,11,843000.0
1979,11,766000.0
1980,11,953000.0
1981,11,816000.0
1982,11,742000.0
1983,11,767000.0
1984,11,954000.0
1985,11,859000.0
1986,11,779000.0
1987,11,926000.0
1988,11,937000.0
1989,11,886000.0
1990,11,773000.0
1991,11,808000.0
1992,11,927000.0
1993,11,831000.0
1994,11,738000.0
1995,11,782000.0
1996,11,587000.0
1997,11,861000.0
1998,11,761000.0
1999,11,618000.0
2000,11,691000.0
2001,11,749000.0
2002,11,879000.0
2003,11,744000.0
2004,11,883000.0
2005,11,769000.0
2006,11,471000.0
2007,11,1018000.0
2008,11,778000.0
2009,11,958000.0
2010,11,857000.0
2011,11,929000.0
2012,11,1120000.0
2013,11,850000.0
2014,11,804000.0
2015,11,878000.0
2016,11,1007000.0
2017,11,908000.0
2018,11,1173000.0
2019,11,1103000.0
2020,11,1327000.0
2021,11,979000.0
2022,11,837000.0
2023,11,820000.0
2024,11,
1978,12,701000.0
1979,12,869000.0
1980,12,649000.0
1981,12,897000.0
1982,12,654000.0
1983,12,593000.0
1984,12,646000.0
1985,12,706000.0
1986,12,646000.0
1987,12,
1988,12,705000.0
1989,12,618000.0
1990,12,602000.0
1991,12,821000.0
1992,12,552000.0
1993,12,729000.0
1994,12,779000.0
1995,12,714000.0
1996,12,914000.0
1997,12,826000.0
1998,12,949000.0
1999,12,759000.0
2000,12,826000.0
2001,12,873000.0
2002,12,772000.0
2003,12,899000.0
2004,12,692000.0
2005,12,734000.0
2006,12,1101000.0
2007,12,891000.0
2008,12,698000.0
2009,12,845000.0
2010,12,824000.0
2011,12,893000.0
2012,12,884000.0
2013,12,717000.0
2014,12,788000.0
2015,12,765000.0
2016,12,1074000.0
2017,12,711000.0
2018,12,622000.0
2019,12,969000.0
2020,12,1034000.0
2021,12,849000.0
2022,12,806000.0
2023,12,1046000.0
2024,12,
