Year,Month,tos
1944,2,13.247516
1944,3,13.210551
1944,4,12.979732
1944,5,12.820338
1944,6,12.834369
1944,7,13.00193
1944,8,13.103832
1944,9,12.926497
1944,10,12.654354
1944,11,12.539793
1944,12,12.692795
1945,1,13.145429
1945,2,13.35567
1945,3,13.257503
1945,4,13.066123
1945,5,12.8574705
1945,6,12.838325
1945,7,13.010357
1945,8,13.074268
1945,9,12.883573
1945,10,12.603309
1945,11,12.48147
1945,12,12.670692
1946,1,13.072206
1946,2,13.285202
1946,3,13.233585
1946,4,13.003386
1946,5,12.783006
1946,6,12.813201
1946,7,12.961913
1946,8,13.049264
1946,9,12.912677
1946,10,12.6078415
1946,11,12.478866
1946,12,12.619257
1947,1,12.992769
1947,2,13.237262
1947,3,13.161517
1947,4,12.936167
1947,5,12.803128
1947,6,12.807022
1947,7,12.9622135
1947,8,13.052823
1947,9,12.927415
1947,10,12.642606
1947,11,12.529687
1947,12,12.69277
1948,1,13.088013
1948,2,13.305246
1948,3,13.21515
1948,4,12.987314
1948,5,12.8099375
1948,6,12.806644
1948,7,12.98346
1948,8,13.111668
1948,9,12.974865
1948,10,12.713286
1948,11,12.602904
1948,12,12.782279
1949,1,13.178534
1949,2,13.346281
1949,3,13.294944
1949,4,13.106897
1949,5,12.941205
1949,6,12.90911
1949,7,13.061801
1949,8,13.126356
1949,9,12.969399
1949,10,12.685016
1949,11,12.581255
1949,12,12.766525
1950,1,13.132339
1950,2,13.391987
1950,3,13.331455
1950,4,13.096025
1950,5,12.890074
1950,6,12.878217
1950,7,13.055816
1950,8,13.136668
1950,9,12.937009
1950,10,12.674431
1950,11,12.541903
1950,12,12.72355
1951,1,13.137812
1951,2,13.37644
1951,3,13.314043
1951,4,13.090566
1951,5,12.901895
1951,6,12.899712
1951,7,13.06905
1951,8,13.185716
1951,9,12.974935
1951,10,12.699624
1951,11,12.567842
1951,12,12.748341
1952,1,13.139351
1952,2,13.378769
1952,3,13.326699
1952,4,13.089656
1952,5,12.871354
1952,6,12.844565
1952,7,12.982858
1952,8,13.09964
1952,9,12.927335
1952,10,12.666761
1952,11,12.535103
1952,12,12.705378
1953,1,13.111799
1953,2,13.327352
1953,3,13.245111
1953,4,13.043042
1953,5,12.850017
1953,6,12.801832
1953,7,12.958738
1953,8,13.068571
1953,9,12.882512
1953,10,12.591676
1953,11,12.479882
1953,12,12.670932
1954,1,13.045748
1954,2,13.285609
1954,3,13.154427
1954,4,12.955895
1954,5,12.792268
1954,6,12.78101
1954,7,12.96426
1954,8,13.039063
1954,9,12.883322
1954,10,12.599657
1954,11,12.470246
1954,12,12.626103
1955,1,13.021434
1955,2,13.268936
1955,3,13.191295
1955,4,13.000584
1955,5,12.840296
1955,6,12.860768
1955,7,13.010701
1955,8,13.086784
1955,9,12.92515
1955,10,12.642263
1955,11,12.51144
1955,12,12.711812
1956,1,13.063776
1956,2,13.276415
1956,3,13.223217
1956,4,13.0150385
1956,5,12.837428
1956,6,12.844693
1956,7,13.004277
1956,8,13.123761
1956,9,12.931678
1956,10,12.650649
1956,11,12.517553
1956,12,12.656413
1957,1,13.049572
1957,2,13.2240095
1957,3,13.145024
1957,4,12.939749
1957,5,12.769928
1957,6,12.783181
1957,7,12.93589
1957,8,13.013265
1957,9,12.837717
1957,10,12.573097
1957,11,12.475224
1957,12,12.680266
1958,1,13.09477
1958,2,13.290767
1958,3,13.261512
1958,4,13.003704
1958,5,12.802829
1958,6,12.814485
1958,7,12.981062
1958,8,13.072635
1958,9,12.901776
1958,10,12.581283
1958,11,12.484947
1958,12,12.677538
1959,1,13.027089
1959,2,13.21324
1959,3,13.179219
1959,4,12.962826
1959,5,12.811674
1959,6,12.779465
1959,7,12.920887
1959,8,13.018459
1959,9,12.817037
1959,10,12.558705
1959,11,12.443886
1959,12,12.588868
1960,1,12.969451
1960,2,13.215312
1960,3,13.14296
1960,4,12.925834
1960,5,12.725478
1960,6,12.714139
1960,7,12.878898
1960,8,13.018669
1960,9,12.853
1960,10,12.597457
1960,11,12.489427
1960,12,12.709801
1961,1,13.110573
1961,2,13.303981
1961,3,13.229479
1961,4,13.028158
1961,5,12.824073
1961,6,12.794124
1961,7,12.935616
1961,8,13.021556
1961,9,12.818483
1961,10,12.541284
1961,11,12.44683
1961,12,12.659932
1962,1,13.092024
1962,2,13.318387
1962,3,13.225396
1962,4,12.965191
1962,5,12.752346
1962,6,12.724476
1962,7,12.885623
1962,8,12.9858
1962,9,12.773669
1962,10,12.491525
1962,11,12.365157
1962,12,12.556662
1963,1,12.970045
1963,2,13.210254
1963,3,13.112613
1963,4,12.840595
1963,5,12.62801
1963,6,12.618219
1963,7,12.773936
1963,8,12.853251
1963,9,12.679696
1963,10,12.397736
1963,11,12.240528
1963,12,12.391969
1964,1,12.732802
1964,2,12.980615
