Year,Month,sh_icechange
1999,6,1196000.0
2000,6,914000.0
2001,6,1153000.0
2002,6,1221000.0
2003,6,1041000.0
2004,6,1130000.0
2005,6,1101000.0
2006,6,1267000.0
2007,6,1242000.0
2008,6,1105000.0
2009,6,1046000.0
2010,6,1251000.0
2011,6,962000.0
2012,6,1201000.0
2013,6,1203000.0
2014,6,1292000.0
2015,6,1113000.0
2016,6,1314000.0
2017,6,1239000.0
2018,6,1306000.0
2019,6,1344000.0
2020,6,1149000.0
2021,6,1230000.0
2022,6,1128000.0
2023,6,939000.0
2024,6,880000.0
1978,7,
1979,7,576000.0
1980,7,977000.0
1981,7,896000.0
1982,7,940000.0
1983,7,940000.0
1984,7,948000.0
1985,7,572000.0
1986,7,999000.0
1987,7,1053000.0
1988,7,940000.0
1989,7,687000.0
1990,7,889000.0
1991,7,955000.0
1992,7,1090000.0
1993,7,961000.0
1994,7,956000.0
1995,7,874000.0
1996,7,880000.0
1997,7,1008000.0
1998,7,960000.0
1999,7,820000.0
2000,7,851000.0
2001,7,880000.0
2002,7,1008000.0
2003,7,830000.0
2004,7,865000.0
2005,7,1051000.0
2006,7,933000.0
2007,7,1038000.0
2008,7,626000.0
2009,7,800000.0
2010,7,713000.0
2011,7,1055000.0
2012,7,888000.0
2013,7,974000.0
2014,7,745000.0
2015,7,643000.0
2016,7,888000.0
2017,7,1137000.0
2018,7,908000.0
2019,7,1023000.0
2020,7,854000.0
2021,7,995000.0
2022,7,930000.0
2023,7,1028000.0
2024,7,
1978,8,
1979,8,423000.0
1980,8,720000.0
1981,8,491000.0
1982,8,515000.0
1983,8,657000.0
1984,8,383000.0
1985,8,907000.0
1986,8,485000.0
1987,8,382000.0
1988,8,414000.0
1989,8,534000.0
1990,8,596000.0
1991,8,540000.0
1992,8,392000.0
1993,8,594000.0
1994,8,561000.0
1995,8,499000.0
1996,8,480000.0
1997,8,454000.0
1998,8,524000.0
1999,8,513000.0
2000,8,572000.0
2001,8,267000.0
2002,8,547000.0
2003,8,279000.0
2004,8,547000.0
2005,8,368000.0
2006,8,742000.0
2007,8,455000.0
2008,8,460000.0
2009,8,571000.0
2010,8,484000.0
2011,8,448000.0
2012,8,551000.0
2013,8,468000.0
2014,8,452000.0
2015,8,327000.0
2016,8,653000.0
2017,8,457000.0
2018,8,516000.0
2019,8,639000.0
2020,8,758000.0
2021,8,526000.0
2022,8,668000.0
2023,8,658000.0
2024,8,
1978,9,
1979,9,35000.0
1980,9,214000.0
1981,9,233000.0
1982,9,31000.0
1983,9,178000.0
1984,9,-86000.0
1985,9,20000.0
1986,9,-15000.0
1987,9,183000.0
1988,9,264000.0
1989,9,8000.0
1990,9,86000.0
1991,9,229000.0
1992,9,-25000.0
1993,9,98000.0
1994,9,-1000.0
1995,9,234000.0
1996,9,57000.0
1997,9,148000.0
1998,9,221000.0
1999,9,210000.0
2000,9,251000.0
2001,9,348000.0
2002,9,15000.0
2003,9,251000.0
2004,9,86000.0
2005,9,402000.0
2006,9,72000.0
2007,9,279000.0
2008,9,42000.0
2009,9,201000.0
2010,9,-30000.0
2011,9,253000.0
2012,9,292000.0
2013,9,176000.0
2014,9,297000.0
2015,9,148000.0
2016,9,-167000.0
2017,9,58000.0
2018,9,107000.0
