Year,Month,psl
1942,4,1007.59784
1942,5,1008.7319
1942,6,1009.3371
1942,7,1008.47186
1942,8,1007.79913
1942,9,1007.552
1942,10,1006.37115
1942,11,1007.4481
1942,12,1008.2062
1943,1,1008.78656
1943,2,1008.4384
1943,3,1007.5511
1943,4,1007.54736
1943,5,1008.65234
1943,6,1008.3834
1943,7,1007.6732
1943,8,1006.9007
1943,9,1006.31256
1943,10,1008.1445
1943,11,1007.3166
1943,12,1007.36633
1944,1,1007.65015
1944,2,1008.7438
1944,3,1007.219
1944,4,1007.779
1944,5,1007.6236
1944,6,1007.8308
1944,7,1007.54913
1944,8,1006.9039
1944,9,1005.71466
1944,10,1006.6796
1944,11,1008.41943
1944,12,1009.4247
1945,1,1009.1108
1945,2,1008.72845
1945,3,1008.7985
1945,4,1009.0481
1945,5,1008.68274
1945,6,1006.75287
1945,7,1007.5446
1945,8,1008.0248
1945,9,1005.2123
1945,10,1007.5164
1945,11,1008.2007
1945,12,1008.44196
1946,1,1009.18134
1946,2,1008.55304
1946,3,1008.4632
1946,4,1008.0294
1946,5,1007.9456
1946,6,1008.75354
1946,7,1009.36017
1946,8,1008.18536
1946,9,1006.78253
1946,10,1007.3583
1946,11,1008.11597
1946,12,1007.75574
1947,1,1009.3253
1947,2,1007.8426
1947,3,1007.7901
1947,4,1007.5055
1947,5,1009.01874
1947,6,1008.32074
1947,7,1007.78406
1947,8,1007.0138
1947,9,1007.18536
1947,10,1007.6216
1947,11,1008.0988
1947,12,1008.07074
1948,1,1007.99097
1948,2,1008.5052
1948,3,1007.3957
1948,4,1007.802
1948,5,1009.229
1948,6,1008.41614
1948,7,1006.34454
1948,8,1005.7689
1948,9,1006.4804
1948,10,1007.50146
1948,11,1009.3562
1948,12,1009.512
1949,1,1007.82196
1949,2,1008.0576
1949,3,1008.59656
1949,4,1008.5223
1949,5,1007.9199
1949,6,1007.84393
1949,7,1006.30316
1949,8,1007.70825
1949,9,1007.26666
1949,10,1006.39856
1949,11,1007.4779
1949,12,1007.8099
1950,1,1009.5058
1950,2,1008.6344
1950,3,1009.23486
1950,4,1008.6144
1950,5,1008.4962
1950,6,1008.18506
1950,7,1007.5085
1950,8,1007.08624
1950,9,1006.45703
1950,10,1006.86194
1950,11,1007.4358
1950,12,1008.7365
1951,1,1008.4069
1951,2,1009.3881
1951,3,1009.4733
1951,4,1008.87494
1951,5,1009.62506
1951,6,1008.08496
1951,7,1007.07935
1951,8,1007.252
1951,9,1006.5753
1951,10,1006.4452
1951,11,1009.1083
1951,12,1009.4116
1952,1,1009.8838
1952,2,1008.3893
1952,3,1008.578
1952,4,1009.09296
1952,5,1008.44366
1952,6,1008.7669
1952,7,1007.5892
1952,8,1008.1105
1952,9,1006.1247
1952,10,1006.9644
1952,11,1008.5713
1952,12,1008.60126
1953,1,1010.438
1953,2,1009.05396
1953,3,1008.26514
1953,4,1008.20795
1953,5,1008.85
1953,6,1007.6095
1953,7,1006.4084
1953,8,1007.33466
1953,9,1006.7683
1953,10,1006.7825
1953,11,1007.1813
1953,12,1010.09686
1954,1,1009.4598
1954,2,1007.38385
1954,3,1006.6801
1954,4,1007.6597
1954,5,1009.38025
1954,6,1007.8326
1954,7,1007.2775
1954,8,1007.033
1954,9,1006.89435
1954,10,1005.5917
1954,11,1007.63794
1954,12,1008.73926
1955,1,1009.9936
1955,2,1008.8351
1955,3,1007.6811
1955,4,1008.09753
1955,5,1008.72266
1955,6,1008.1668
1955,7,1007.9133
