Year,January,February,March,April,May,June,July,August,September,October,November,December,,Annual
1978,,,,,,,,,,,9.037,10.901,,9.984
1979,12.406,13.181,13.208,12.528,11.109,9.344,6.692,5.056,4.583,6.189,8.367,10.633,,9.418
1980,11.938,12.901,12.99,12.522,10.964,9.003,6.535,4.938,4.871,6.495,8.727,10.781,,9.376
1981,11.907,12.533,12.714,12.239,10.991,9.029,6.313,4.477,4.439,6.265,8.313,10.543,,9.126
1982,12.192,12.868,13.066,12.63,11.169,9.46,6.87,5.003,4.435,6.67,9.059,10.879,,9.504
1983,12.01,12.942,12.928,12.213,10.868,9.265,6.856,4.975,4.703,6.788,8.986,10.629,,9.408
1984,11.683,12.257,12.555,12.178,10.88,9.093,6.297,4.681,4.106,5.911,8.235,10.269,,9.001
1985,11.695,12.48,12.748,12.545,11.246,8.957,5.988,4.603,4.232,6.123,8.424,10.24,,9.085
1986,11.882,12.617,12.721,12.037,10.702,8.99,6.621,5.007,4.72,6.834,8.873,10.534,,9.275
1987,11.897,13.021,12.83,12.351,10.968,9.391,6.551,,5.641,7.491,9.734,,,9.967
1988,,13.574,13.903,13.182,11.413,9.684,7.007,5.423,5.362,7.518,9.911,11.992,,9.889
1989,13.179,13.364,13.213,12.356,11.35,9.951,7.329,5.563,4.863,6.956,9.463,11.606,,9.913
1990,12.805,13.416,13.506,12.277,10.902,9.196,6.522,4.995,4.545,6.736,9.644,11.469,,9.645
1991,12.568,13.224,13.42,12.868,11.499,9.659,6.761,5.208,4.513,6.752,9.252,11.193,,9.722
1992,12.614,13.583,13.483,12.839,11.427,9.946,7.217,5.439,5.426,7.739,9.748,11.722,,10.086
1993,12.926,13.613,13.775,13.028,11.415,9.261,6.279,4.759,4.577,7.058,9.545,11.476,,9.786
1994,12.875,13.523,13.55,12.913,11.658,9.684,6.923,5.188,5.13,7.232,9.715,11.493,,9.968
1995,12.785,13.369,13.339,12.405,10.902,8.944,6.156,4.693,4.428,5.991,9.032,11.088,,9.403
1996,12.152,12.979,12.904,12.322,11.284,9.834,7.438,5.733,5.623,7.544,8.765,11.031,,9.791
1997,12.395,13.438,13.303,12.574,11.236,9.197,6.501,5.089,4.892,6.467,9.071,11.242,,9.593
1998,12.806,13.768,13.574,12.852,11.398,9.184,6.449,4.691,4.297,6.706,8.884,10.91,,9.601
1999,12.602,13.451,13.54,13.15,11.665,9.252,6.554,4.753,4.292,6.835,9.256,10.994,,9.672
2000,12.304,13.088,13.167,12.597,11.244,9.052,6.385,4.783,4.347,6.692,8.866,10.96,,9.445
2001,12.354,13.22,13.641,13.053,11.383,9.086,6.285,4.936,4.586,6.649,9.077,10.553,,9.545
2002,12.261,13.421,13.42,12.413,11.158,9.188,6.439,4.318,4.029,6.238,8.752,10.643,,9.332
2003,12.289,13.227,13.425,12.46,10.888,9.114,6.152,4.517,4.048,5.982,8.569,10.803,,9.265
2004,12.263,12.941,12.993,12.163,10.921,9.236,6.507,4.672,4.391,6.396,8.955,10.976,,9.356
2005,11.922,12.348,12.742,12.229,10.878,8.806,5.901,4.206,4.068,5.775,8.797,10.564,,8.998
2006,11.651,12.354,12.516,12.035,10.446,8.409,5.788,4.31,4.013,5.798,8.126,10.17,,8.779
2007,11.861,12.579,12.56,11.826,10.765,8.212,5.13,3.194,2.819,4.331,8.06,10.178,,8.434
2008,12.297,13.209,13.534,12.776,11.249,8.854,6.058,3.787,3.258,5.772,9.049,10.971,,9.221
2009,12.316,13.214,13.434,12.916,11.477,9.249,6.116,4.164,3.761,5.236,8.357,10.585,,9.21
2010,12.041,12.962,13.527,12.848,10.882,8.365,5.573,3.88,3.335,5.484,8.429,10.432,,8.955
2011,11.827,12.757,12.826,12.447,10.742,8.544,5.404,3.385,3.208,5.02,8.516,10.626,,8.749
2012,12.214,12.725,13.415,12.872,11.051,8.156,5.091,2.934,2.406,4.585,8.061,10.454,,8.65
2013,12.021,13.196,13.451,12.749,11.254,8.954,5.808,4.172,3.783,5.954,8.659,10.874,,9.215
2014,12.1,12.564,12.951,12.429,11.046,8.765,5.964,4.368,3.742,5.696,8.75,10.895,,9.085
2015,12.17,12.85,12.775,12.334,10.895,8.705,5.659,3.626,3.422,5.488,8.48,10.639,,8.895
2016,11.802,12.428,12.614,11.985,10.249,8.209,5.366,3.306,2.913,4.399,7.01,9.62,,8.311
2017,11.366,12.32,12.614,12.259,11.005,8.628,5.65,3.638,3.348,5.305,8.084,10.262,,8.684
2018,11.696,12.309,12.69,12.282,10.806,8.792,5.762,3.904,3.354,4.594,8.429,10.452,,8.732
2019,12.144,12.757,12.893,11.898,10.496,8.316,5.129,3.242,3.168,4.526,7.979,10.52,,8.563
2020,12.148,12.953,13.034,12.017,10.505,8.414,5.066,3.103,2.83,4.113,7.535,10.164,,8.475
2021,11.751,12.756,12.99,12.177,10.861,8.393,5.527,3.776,3.466,5.428,8.572,10.741,,8.846
2022,12.259,12.898,12.799,12.463,11.098,8.608,5.889,4.026,3.474,5.255,8.515,10.274,,8.939
2023,11.831,12.567,12.87,12.497,11.015,8.705,5.544,3.521,2.788,4.858,8.297,10.314,,8.71
2024,12.193,12.726,13.146,12.536,11.025,8.611,,,,,,,,11.708
